Borough,number_of_incidents,number_of_severe_incidents,longitude,latitude
Westminster,4253,916,-0.1,
Lambeth,4189,782,,
Southwark,3871,780,,
Croydon,3642,699,,
Lewisham,3110,562,,
Greenwich,2884,533,,
Haringey,2852,448,,
Barnet,2835,537,,
Ealing,2780,616,,
Hounslow,2649,463,,
Brent,2519,516,,
Camden,2481,468,,
Newham,2462,404,,
Wandsworth,2419,401,,
Hackney,2417,431,,
Havering,2384,329,,
Bromley,2227,429,,
Islington,2224,394,,
Enfield,2152,374,,
Waltham Forest,1982,318,,
Hillingdon,1761,336,,
Barking & Dagenham,1643,258,,
Redbridge,1506,261,,
Tower Hamlets,1437,263,,
Bexley,1310,240,,
Hammersmith & Fulham,1277,240,,
Merton,1225,217,,
Kensington & Chelsea,1110,197,,
Harrow,1084,264,,
Sutton,1051,174,,
Richmond Upon Thames,981,173,,
Kingston Upon Thames,913,165,,
City Of London,881,156,,
